Ejercicio,Mes,Titulo_Codigo,Titulo_Descripcion,CI_Clase_Codigo,CI_Clase_Descripcion,CI_Subclase_Codigo,CI_Subclase_Descripcion,CI_Grupo_Codigo,CI_Grupo_Descripcion,CI_Subgrupo_Codigo,CI_Subgrupo_Descripcion,CI_Partida_Codigo,CI_Partida_Descripcion,CI_Subpartida_Codigo,CI_Subpartida_Descripcion,CI_Renglon_Codigo,CI_Renglon_Descripcion,CI_Subrenglon_Codigo,CI_Subrenglon_Descripcion,CI_Fuente_Codigo,CI_Fuente_Descripcion,FF_Codigo,FF_Descripcion,FF_Clase2,PI_Monto,PP_Monto,DE_Monto,PA_Monto
2024,01,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,          24105759057.57,          24105759057.57
2024,02,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,          45084811014.16,          45084811014.16
2024,03,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,          69458243687.74,          69458243687.74
2024,04,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,          92685653670.50,          92685653670.50
2024,05,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,         114651220915.61,         114651220915.61
2024,06,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,         139235106912.45,         139235106912.45
2024,07,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,         162096848938.76,         162096848938.76
2024,08,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,         184114101755.82,         184114101755.82
2024,09,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,         206332397057.79,         206332397057.79
2024,10,206,Ministerio de Hacienda,1,INGRESOS CORRIENTES,11,INGRESOS TRIBUTARIOS,111,IMPUESTOS A LOS INGRESOS Y UTILIDADES,1111,IMPUESTO SOBRE LOS INGRESOS Y UTILIDADES DE PERSON AS FÍSICAS,111101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,11110101,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,111101010,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,1111010100001,Impuesto sobre salarios jubilaciones pensiones y otros pagos laborales del Se,001,Ingresos Corrientes,INTERNO,         264000000000.00,         264000000000.00,         228670579149.89,         228670579149.89
